gender|age|experience_chatbots|experience_businesstravel|expectations_1|expectations_2|expectations_3|chat_exp_1|chat_exp_2|chat_exp_3|chat_exp_4|chat_exp_5|chat_exp_6|chat_exp_7|chat_exp_8|user
male|30-39|3|3|Accommodation types available, travel policies, expenses policies, entertainment policies.|How I would ask a real person.|Somewhere along the right lines, but not overly detailed.|4|5|4|5|4|2|4|3|80dce4aa2bb6e4747dea90c91ca9fe
male|30-39|3|3|Information regarding customer service. Times when contacting a real person is unavailable|it is similar|excellent quality|4|4|4|4|4|4|4|4|fc4cff10337919ad57c935de757796
male|20-29|4|3|I would expect the chatbot to be able to filter information from a stored database and provide specific bits of information to me, to save me time from having to browse through all the terms, rules and contracts myself. I would expect a real person to be able to give me more directed support about a specific personal question or issue I am facing.|I would keep my sentences short and succint as so to not overwhelm the bot.|I would expect a generic answer with no personalization. I would expect little detail and I would expect the interaction to be without any sort of interpersonality. |1|4|4|4|5|1|4|4|c951b710a16924c54f90bccc29460b
female|40-49|4|3|usually if i have purchased something , used it for insurance aswell|i would speak to it as if it was a person|i would expect not a prepopulated answer |5|5|5|5|2|2|4|5|767d6d0026f6568ed1fbe324f434ee
female|60-69|2|3|info on location of things, journey times etc|more specific|more general|2|4|4|3|4|2|3|4|3531297f0bd32d54dcc23e8e8a50ad
female|20-29|4|2|I expect a chatbot for a business travel system would be able to answer the sort of questions that are in an FAQ. I think it would be able to tell me fairly basic things about how to make/amend bookings, but wouldn't be able to answer anything complicated if something goes wrong with the system. I'd have to contact a real person in that case. |"""How do I make a booking,"" ""How to change the travel date,"" ""How to cancel a booking,"" ""Who will reimburse my costs,"" ""which system should I use for train travel"" etc. I suppose its similar to how I\'d use a search engine."|I think it would be able to give me basic answers to common questions, which will be correct based on a scenario where everything goes perfectly.|3|4|4|4|2|2|2|5|d3f5d2249e51c387c882cb587ba9ca
female|20-29|4|3|I would expect to be able to find out what the business travel policies are, the cost for adding additional items, confirming my details, finding out how to change the time/date of travel and what's included in the cost of the ticket. In most instances, I would see if the chatbot could answer the question first. If it was slow or inaccurate, I'd just want to speak to a person.|I would probably just outline the query I had as I would with a real person and see if the chatbot managed to understand what I was saying.|I would expect that the style would be friendly and professional, that there would be a simplified level of detail and that it would mostly be correct but perhaps not answer very niche questions.|4|2|2|5|2|2|2|4|ca54185f7f55c7c28a299578c6d6c1
female|30-39|3|1|I would be expecting a chatbot to give me quite generic information about a service for business travel. It might be able to pick specific information that I was looking for from a website or it might be able to set up a booking for me based on information that I provide. It might be able to provide information relating to any accounts or bookings that I have. I prefer to contact a real human when perhaps making changes to a booking or needing information relating to a more specific query. |It would be similar to how I ask a real person. |I would expect to get a similar style to what I might get from a real person nowadays. However, I would be prepared that there might be some mistakes and they are probably using more general information so I wouldn't expect a huge amount of specific detail/specialised information. |4|3|2|5|4|2|4|3|7addf36ad46517524764cd73b84d5b
female|30-39|2|1|I would expect to find out what hours I could travel, my travel weight for bags, what is included with the service and what I would have to pay extra for.\r\n\r\nI wouldn't read the company policy documents, I would use the chat bot if there was no way to contact a person. |I would ask the question as if I am asking a real person, it would be different to how I would use a search engine.|I would expect it to be 100% correct, formal and in great detail|5|2|2|5|3|5|5|2|47c97ed8e9ba2195e48f663a9f35a7
female|30-39|1|1|i would expect a standard company policy document to be relayed to me|'what is the company's policy on travel?' this is similar to what i would ask a person or search engine|i would expect a conversational response containing the information usually found in a policy document|4|3|4|3|4|2|3|2|5bbe9193fb7d45e2e10d3aade3aa89
female|30-39|3|2|expense allowances, code of conduct|In simple, short sentences using simple language, no jargon|I expect very direct, to-the-point answers|4|5|5|3|2|1|3|4|597bc392e979365272ccf5960b6679
female|30-39|3|3|Finding out about opening times of facilities and what is available nearby such as transport and restaurants etc. If it is something that is generic for the hotel.|I would ask a question like 'ask jeeves' so a simple question with key words|I would expect simple to the point information and if there are website links. No spelling mistakes, formal. |3|4|2|4|2|2|4|3|fe874db03aadd15d056f5ebd116a85
female|50-59|3|1|to gain basic information about business travel|yes the same|correct information|3|2|4|3|3|4|3|2|266f4afc0f4957543ecd710668a801
female|30-39|3|1|Baggage requirements / restrictions|Direct / clear question which would have a definitive answer. Would have to be phrased more carefully than for a search engine or real person.|Correct, factual, clear and concise with no additional detail|2|4|5|3|4|2|4|2|e100425dee079289c5660a0b2db5d1
female|40-49|3|1|I would expect to get some good and correct information from a chatbot|I would phrase it like a real person|I would expect to get a good quality answer|5|2|2|5|2|5|5|4|ed751396034b4e87fb50846540d2b2
female|20-29|3|1|from a chatbox i would expect to find out any information that is fixed so any things I will be charged for during the business travel and maybe things I should be expecting during the travel period.|i think it is quite similar but with a chatbox you would have to be much more clearer in what you are trying to ask as you cant assume that it will understand what you mean.|i would expect to get a detailed and formal answer with no mistakes.|2|4|5|4|4|2|4|4|85452be9505ef3ee3499d59b5300f3
female|40-49|3|1|Return processes, how to contact a company, complaints processes, anything pretty straight forward|I would ask one question at a time and ensure I keep the questions simple |I imagine it would be very correct , however if you are asking a unique question I am unsure if it would be able to help you, similarly with any kind of detail, I imagine it must be limited when it comes to details|4|3|4|2|4|2|4|4|0f97158978beebaeb59f4dda0db17c
male|40-49|3|4|I'd expect it to be able to extract simple information from a written policy quickly|As I would ask a real person|I would expect it to b 100% or to pass me to a human|4|2|3|4|2|3|4|4|09b1a7da8812a2efd58c0a1b92cc0b
female|30-39|3|1|To direct me to useful resources or information I might need, to bring up any order details and to direct me to customer services if I needed to speak to someone. I would want to speak to a real person if there was a issue with my account or orders.|It is more informal by typing out the issue without saying please or thank you if I'm talking to a chat bot|Expect it to be fully accurate, detailed and formal. |1|4|5|5|4|2|3|4|92c512341aec50139fc63dab2be508
female|30-39|3|1|I would expect to be able to get information such as the exact rules and regulations of that company. The information should be factually correct and up to date. I would ask in times when it\xe2\x80\x99s out of office hours or if I was short on time.|I would ask questions rather than typing in random words like a search engine. There would be no formalities, I would get straight to the question.|I would expect a clear, precise answer and the ability to ask follow up questions so the chatbot can find exactly what I need. It should be accurate and as detailed as I need.|4|2|4|5|3|4|4|3|e5e122c5a2ead5afc06e4df4c8cf78
female|30-39|3|1|Factual information that would be provided on the company's website eg policies, opening times, contact information. I would use a chatbot for a quick enquiry but I would contact a real person for a more complex or important question|I would use more simple language for the chatbot to make sure it understands the question I am asking. I would use a full sentence whereas for a search engine I would use key words. For a real person I can explain in much more natural language|Shallow, low detail, hopefully pointing me towards more information (documents, real person) if it cannot provide an answer itself|1|5|5|4|4|1|3|3|ed81efaafec6d941adbdf96636bd6d
female|30-39|3|1|For frequently asked questions and answers on how to get to a certain page on a website|keep it short and simpke|a very direct answer with a link to what im looking for or a short but direct answer|2|5|5|4|4|2|4|2|63fe6663ab1740ce3d095bd3ec270f
male|20-29|4|2|Basic FAQ information. When I know that the chat bot will not be able to help me|I would phrase it similar to how I use to search in a search engine |I would expect it to at least have some attention to detail|3|4|4|4|2|2|2|5|5a465be12adc3998b4fe940817cddc
male|40-49|3|3|same as google but more complete|would be the same|similar to ahuman one, but more complete and intelligent|5|5|1|5|1|5|5|1|7f946e73fd33c3a2f15beac9248fc6
female|20-29|3|2|I would expect to find out information like tracking a parcel, being able to make simple amendments to policies like home insurance, car insurance. I\xe2\x80\x99ve also used chat bots for issues whilst being on holiday and flight delays. I would use a chat bot for most things but I wouldn\xe2\x80\x99t log a complaint with one. I would rather speak to a real life person about issues I\xe2\x80\x99m experiencing but would let a chat bot help me change things about my account/policy. |I would phrase things in the exact same way to a chat bot. I might be a bit more succinct. I would ask straight questions and keep information quite formal rather than being more chatty. |I would expect the chat bot to be able to answer simple questions where they can retrieve the answers from my account information. Sometimes the chat bot doesn\xe2\x80\x99t fully understand the question but I would say that most\r\nOf the time, the information given is accurate when it is to do with data. |4|4|5|3|4|3|5|3|3d9670b634a7a64e7a91bbd34c1823
