gender|age|experience_chatbots|experience_businesstravel|expectations_1|expectations_2|expectations_3|chat_exp_1|chat_exp_2|chat_exp_3|chat_exp_4|chat_exp_5|chat_exp_6|chat_exp_7|chat_exp_8|user
male|40-49|3|3|I would use a chat bot for things like confirming booking details or cancelling travel plans|"Similar to how i would ask a real person.  ""Hi, please can i cancel my booking?"""|good level of detail, btu nor=t always correct topic|4|3|5|3|4|2|4|3|b605a256d4c8ee8b320cb265898fa2
male|20-29|2|1|Travel Policy Details: Information on travel expenses, reimbursement procedures, allowed travel classes, booking processes, etc.\r\n\r\nApproval Processes: Steps for getting travel approvals, required documents, and timelines.\r\n\r\nCompliance Guidelines: Company-specific travel regulations, preferred vendors, and travel safety guidelines.\r\n\r\nTravel Benefits: Information on per diem rates, travel allowances, and insurance coverage.\r\n\r\nTravel Resources: Links to relevant forms, portals for booking, and contact details for travel support.|"For quick, straightforward queries (e.g., ""What is the daily meal allowance?"").\r\nWhen needing information outside of business hours.\r\nFor immediate responses without the wait time associated with human interaction. To get an overview or summary of policies without reading lengthy documents"|For complex, nuanced questions that may require judgment or interpretation.\r\nWhen clarification on a specific policy detail is needed.\r\nTo resolve issues that the chatbot couldn't handle.\r\nWhen experiencing technical issues with the chatbot or travel systems|5|5|3|5|3|5|5|3|9424463765f172f5bfb4465ca43bff
female|20-29|4|1|- what forms/documents do I need to sign and fill. \r\n- what am I allowed to take vs not allowed to take in baggage. How much baggage is allowed?\r\n- what all do I need to do or what steps do I need to take in preparation for the trip? checklist? break down of steps? first thing to do? priorities? security checks in place?\r\n- rules around using and bringing personal tech/phones?\r\n- emergency contacts and wellbeing support if needed\r\n- helpline numbers or helpdesk info to get instant answers \r\n- Chatbots might be useful for getting instant info before, after, and while travelling. Will save time and energy spent on searching for info on the company website or while waiting for an email response written for any queries/inquiries from the relevant department\r\n- toolkit/guide/handbook to access info \r\n- official documents required\r\n- prescription drugs, alcohol policies \r\n- social rules/preferences/norms/unsaid rules or things that are too obvious and common knowledge yet being able to get information on such questions to avoid asking a person face to face out of fear/embarrassment/judgement/inability to frame appropriate and subtle questions about certain information\r\n- having multiple and unnecessary (which might be unnecessary or perceived as stupid for others) questions that are detailed and specific to my unique needs.\r\n- dresscode (difficult to ask from a real person/might not be in the policy/might take too long to find the answer from the company policy documents because of the existence of multiple policies, which might make it difficult to navigate to search for answers. additionally, lacking knowledge about which policy contains what info or uncertainty about which policy to read through. \r\n- might not know where to look for the particular information and might be uncomfortable to ask another human due to fear of judgement/embarrassment as mentioned previously.\r\n- strategies, tips, tools before the trip and while travelling.\r\n- what will be the first point of contact or step if something gets lost, stolen or during accidents, injuries etc.\r\n- if and who to speak to outside business hours if needing advice on a situation or event. \r\n- contacts for private, confidential or anonymous advice or support available.\r\n- options on what steps to take in certain situations/events/ accessibility needs.\r\n- what to say vs not to say, what to do vs not to do, allowed vs not allowed, suggested vs not suggested, preferred vs not preferred course of actions specific to the situation.|Asking a chatbot or search engine is more casual, flexible, and direct than asking a real person. There is no need to think too much before phrasing while using a chatbot or search engine, as there is no human on the other side. There is no possibility of bias or social desirability, and there is no influence of prior experiences, perceptions, beliefs, cultural expectations, norms, etc. |Detailed, broad, bottom-up or top-down, across the scale depending on the unique needs and individual differences, the individual's preferred way of processing information, and freedom to choose the type of answer required in that specific moment, time and around the type of information asked. Correctness is expected to be as much as possible, of course (taking into account the knowledge base and limitations of AI and how much ever it has progressed during the designing and trial period, as long as it is continued to be maintained and tweaked, with ongoing updates in response to the cultural shift).|3|4|4|4|4|1|1|3|cb8d48c57182851b8d62eb2400885f
male|20-29|5|1|I use chatbots like ChatGPT as a help for my studies so I expect the results to be precise and now I prefer using chatbots to contacting a real person |It is more like I am asking a real person but sometimes for some questions I need to talk to the bot and type for it like a search engine|I search for high-quality answers with a high level of correctness because I use them for self-studying when I miss lectures |4|2|2|5|4|4|4|2|69e746ae2e242f850a4a29a9e50ad5
female|20-29|4|2|Information that is precise and clear. when using the internet websites.|No it would be different. information to a chatbot is very simple, clear and direct.|information given by a chatbot is perfect. the punctuations and the answer only answers exactly what you asked. No emotions.|1|5|4|4|5|1|4|4|7ad16eb7438e5306d32d36c3293364
female|40-49|3|3|I would expect the chatbox to give me the information about the place that I am going to be staying. The location, and the directions. Will ue the chatbox to find the location and directions.|I feel like the chatbox is more efficient. It responds very fast.|Chatbox should provide excellent and easy to understand information. And correct information.|5|4|5|4|4|4|4|4|3dcb8bebb7e2be81eac1d967c8f678
female|20-29|4|3|I'm expecting a summary or rather published information on the company's business travel information, without any sort of opinion of their own, only under non serious circumstances would chat with a bot to find out common information, but under urgent circumstances like trying to get in depth information then i would contact a real agent of the company. |What are ''company name'' 's business travel regulations or policies? , it is similar because the input is seeking direct answers and not a take or opinion.|i would expect the answer in a professional manner, high level of details as i want everything explained, correctness is important because it shouldn't be information of their own.|5|3|5|5|4|4|5|3|cf84bf013aa9ea515c3fde0121f130
female|20-29|4|1|I would contact real person if i wouldn't get a clear answear from a chatbot|It's more simple, so the bot wouldn't get confused|if the chatbot is functioning correctly, I would get a high quality answer|2|4|4|5|2|4|4|2|51ab895e88d0ad10e989eb82d0bdb6
male|20-29|4|1|Unless the chatbot is actually linked and has the resources for that company specifically, then I would have to contact the person, or a hassle alternative would be to paste all the policy information into the chat box and then ask the chat bot in relation to that policy|"I would do it similar to speaking to a real person since its a ""chat"" bot, not a search bot"|Unless he has the resources (business policies) at hand, I cannot expect pin point details and accuracy in his response|4|5|4|2|4|3|5|3|40ac355a1fb1d8ec9a7741b6584af6
male|30-39|3|3|finding information like flights, hotels and places to visit|I would be more direct with the chatbox|I expect to get precise information. Like the flight time and duration, hotels available with prices, and information about public transportation like buses or subways schedules|2|4|5|4|3|3|4|3|73055a2253f5f15454466c6c2768d3
female|20-29|3|3|Information about the city I am traveling to, \r\nI will use a chatbot when I am in a rush and the person I've contacted doesn't give me accurate information \r\n|Chat bots are quick to answer, it is different from search engine and real person|Straight to the point answer, with accurate information.|4|4|4|4|4|4|4|1|dc967200b041c05be435b0b98fe2dc
male|40-49|3|2|The information I expect from a chatbot is usually the same as I could find myself by browsing a travel website, but it's easier if the chatbot guides me through the navigation. Obviously, I prefer a human being, but if the chatbot can solve it, I don't mind using it|I try to talk to it as if it were a real person, as long as the chatbot reacts similarly. If it's more straightforward, I talk to it like a search engine.|I hope it is brief and concise in its responses and guides me properly.|4|3|5|3|2|3|4|4|95e0c876a0a9705054cc37f0aabdc7
male|40-49|3|2|Information about time tables, proces etc. |No the same way|Medium level of answer. It will most probavly will require clarifications|3|4|4|4|2|4|3|4|f6d66992e1ca6efeddc7451052240e
female|30-39|3|3|I would consider using a chatbot if it was standard and usual question-ljke using it as a better search bar|I would phrase it just like a search bar|I would expect standardized general answers, if i want something more specific I dont suppose it will be found via chatbots|2|4|3|4|1|1|3|4|1c12c92ae12dfb635103a0d179258e
female|30-39|4|1|i would like to get to know how and from which place i have to go. maybe the chatbot gives me better and quicker answer|how can i go from ... to ...? :)|i assume and hope chatbot gives me options to choose fom - which transportation i would like to use. |3|5|4|4|3|2|3|5|b0d327a4da2ba06695ab1d2874fcc0
male|40-49|3|3|the types of information i would expect are about accommodation, addresses in general, places that i can visit, prices and all of that stuff. I would probably use both, a chatbot and a real person. I would check the info from any sources available.|something combined. it is not a real person after all.|With a friendly tone, not much generic but not also a very descriptive one. A follow up question for details would be nice if needed.|3|4|4|4|2|3|3|3|96554bef85eff367e50863e7f47a2d
male|20-29|5|1|Quick reliable online research. Infomation that I would usually look for myself online. I would use it to get an overview of all the relevant material.|Yes. In a search engine I am very precise and only use keywords, whereas with the chatbot I ask as if it was a person.|I would expect it to be fast and very detailed. Often too detailed with information I did not ask for. I usually find that the information is correct and reliable.|5|1|2|5|2|5|5|2|7c059fbe85a2415bec8d372f5b9a96
female|30-39|3|1|Finding the best prices of places to stay, finding the cheapest methods of transportation - it would be easier to do this via chatbot than looking up the information directly as the chatbot can accumulate the information quickly. Also places to eat/things to do outside of business hours in the place of the business trip, the chatbot would be able to give recommendations.|I would ask in a more friendly way than I would to a search engine.|Accurate, friendly answers.|5|2|4|5|4|4|5|2|9c684c2c6abb202ee607c3e38df6d6
female|20-29|4|1|information about travel plan, more general information and vs. while contacting person id expect more insider information, something less general that I could likely find by myself|to chat id phrase questions more simply and without any additional context|id expect less detail, more errors and lesser quality of communication but also faster response time|4|4|5|3|3|2|4|4|065a377639d60e104cfdd66f68e1db
female|20-29|3|2|A chatbot is very useful becauase it has some specific answers so I consider using a chatbot |Use search engine|A good answer with details|4|3|4|3|2|3|4|3|a655c0da4993eff5332735d36d1338
male|30-39|3|1|Simple answers related to the business they are linked to (opening hours, prices and so on)|similar to a search engine, I'll make sure I give the relevant keywords. Different from a real person as I would not be as polite or make introduction / thanks afterwards.|Style should be cordial and professional, correctness should be perfect or lost of trust.|1|5|4|4|2|2|5|4|4beb52d8d9ec24085669500b03e4dc
male|<20|5|1|I would expect generic information - nothing in relation to the particular company, unless it is very well-known and has public and well-documented regulations. I would only consider a chatbot in this specific case.|I would put a lot of emphasis on the specific company, in order to avoid a generic response and to ensure that the AI uses as much of its knowledge about that company as possible. I would also guide the chatbot to search for the regulations in its database. In that sense, it's different from how i would phrase my input when using a search engine or when asking a real person.|I would expect a formal response. If the chatbot managed to find the specific regulations at play, the response would be highly detailed, correct and very useful. If it hadn't managed to find them, the response would be quite generic, lacking a lot of detail, while still being technically correct but not useful at all.|4|1|4|4|3|4|5|3|52294614b51ef6bf0986ea3aad6788
male|40-49|3|3|for company returns or for booking|yes same as a person|polite and easy to understand|4|2|3|4|2|2|4|3|6d44179da1563592c5e344b692971e
female|20-29|4|3|If it's information readily available on the internet and I want a summary or the best recommendation for something|I would phrase it as if I'm talking to someone but basically trying to search something up|Summary of the most popular or recommended info with some detail, but not too much. General key points, but the summary to my question as if I had to search up and read about it via multiple websites and forums to get that level of information. So general yet specific if that makes sense.|5|2|4|5|3|5|4|3|9ca122597c1202b50061404326cd1d
male|20-29|4|1|I would like to receive suggestions on local places to stay, based on reviews, experiences, price, context (for example be as close as possible of company/client's place I am going to meet with, or at least be close to a convinient form of transportation).|It should be as similar as asking to a real person.|Because is a way of getting information, I expect it to be as detailed and correct as possible (hopefully with some links where the chatbot gather the information from). The style should be as a real person, so the search can be made as a conversation.|5|2|4|4|4|4|4|3|c334bbab21038ec5b0e8ef2532ca98
female|30-39|3|2|Prices, discounts, finding out more information, questions that need an immediate answer|I would use very straight forward language, which would be different from asking a real where I would be more polite to the person on the other end. |I would expect very basic answers which do not go very in depth|3|4|5|3|4|1|4|3|7bc26d20092c35be168b3c702b3ff5
female|20-29|5|1|You should be able to get pretty much any information necessary from a chatbot, with the exception being anything from approximately after 2021. Most chatbots cut off at this year, so information newer than that isn't available. In that case, you should talk to a real person.|I speak very simply and straightforward to the chatbot, and make sure I am extremely clear about what I want. I talk similarly to a real person, but chatbots don't require any pleasantries or conversation of that nature.|I expect a high quality answer about 90% of the time, with the other 10% usually being things that I can see are probably unreliable or wrong.|5|1|3|3|3|3|4|2|dd245671ec7246a2ddf0308bf900ed
female|20-29|3|2|General knowledge and facts. information about a company's products or services, troubleshooting guides, order status, refund policies|I would be more detailed with what I am looking for.|Clear and detailed|4|2|4|4|2|4|4|3|de6c54120f63fc4a569c1735655b4e
female|40-49|3|3|I would expect the chatbot to give me accurate answers fast within my fingertip.\r\nI would like to use a chatbot for straightforward questions and for complex company policy documents, asking the chatbot to summarise for me|My input to chatbot has to be as accurate as possible to what I am looking for so I get the right answers, while search engine is easier with typing in a phrase or causal questions. Asking a real person, the person can elaborate further and give advise based on their knowledge and experience, which a chatbot may not be up to it.|I expect the chatbot to give accurate answers in a professional way with details|4|3|5|3|4|4|4|2|b8e63eafb8b739a9afbdc07936e3d9
female|20-29|4|2|I would expect to get information such as hotels and their rates, taxi services, restaurants nearby, emergency numbers. I would use a chatbot if there is a language barrier or if it's quicker response time than I would get using a real person or company policy documents.|I would phrase it in the most straight-forward manner that gives a clear instruction. Not entirely different. |I would expect it to be accurate and answering my question to the best of its ability. |5|4|4|4|3|2|4|3|0f7453ed7e2a7d60350698c1343c32
male|20-29|3|3|company policy information|similar to search engine|a less detailed overview as opposed to reading through a long paragraph|3|5|5|5|5|3|5|3|be07cc2f28ed5eafa09a432ff5f14c
female|20-29|4|3|I would expect getting basic information and when contacting a real I would expect to get answers in depth.|It is the same as if I am asking a real person.|I expect it to be give correct answer but not neccessarily in depth.|5|5|5|5|4|2|3|3|430de41a3e698669b0b72ac6369fdd
male|30-39|3|1|I would expect updates on flight scheduling, if there are any delays, or modifications to my flights. Also, information about amenities available at each individual airport, such as lounges, car rental, etc.\r\nIn most circumstances I would not mind using a chatbot, however, in case the information I need is time sensitive, speaking to a human representative is always preferred.|I think it would be about the same.|I imagine they would be able to provide information with high-level of detail.|4|3|4|5|4|4|4|3|70dc75e8c252d187be492c1be79b33
female|20-29|3|3|Entertainment: Stories, jokes, or even creative writing\r\nQuick answers: When you need a rapid response to a simple question|it is similar to how you would ask a real person, but slightly different from searching online, where you might use keywords and concise phrases. with a chatbot, you have to be specific.|the style is clear \r\ncorrectness it provides accurate data\r\nlevel of details it provides enough information\r\n|4|3|4|3|4|3|4|2|7981a2cb007ba83846ba25c00b163f
female|30-39|4|3|I would use a chatbot to get general information and I would need to contact an actual person if I had a very specific questin regarding a certain parameter that the chatbot would not be able to discern.|I would be more forward and use a bit less chitchat than when I would contact and actual person.|Very precise but quite impersonal and sometimes not targeted to the question I asked if it was too specific.|4|2|5|4|4|2|3|4|9a2703aa0688484505f242f8bbf8d1
male|20-29|4|1|I would expect a chatbot to relay the most important basic information, the place, address, accomodation hours etc. but for any specifics a real person would be required|I usually phrase my input like a task for the chatbot for example: create a list of the best tourist attractions in city xyz by google rating, when talking to a person I feel that politeness goes a long way.|A pretty well organized message with points or a list, no specific details just the overall important basic information but all correct nontheless|4|2|2|5|4|2|4|3|7252eaa5da52fa0e0c9a7146d2c78b
male|20-29|2|2|Information about vacations,  places of rest, medical  questions|I would get straight to the point in a way that would make a chatbot understand |I would definitely want chatbot that is accurate with their answer and can admit If not know anything|4|4|5|3|3|4|4|1|373292acc466b7540b4da32575227f
male|20-29|5|4|I want the chatbot to give information about business travel regulations, such as travel approval procedures, expense reimbursement guidelines, necessary documentation, and any travel policies specific to the company. I'd use the chatbot for simple and quick questions or immediate clarification. For more complicated, detailed, or nuanced inquiries, I'd contact a real person or refer to the company policy documents.|I will phrase my questions to the chatbot clearly and concisely, such as What are the procedures for travel expense reimbursement? This is similar to using a search engine, but more structured to quickly obtain specific information. If I were asking a real person, I would use a more conversational approach, often asking follow-up questions to clarify or elaborate on the information provided.|I expect the chatbot to provide accurate, concise, and relevant answers with a professional tone. The responses should be detailed enough to address the query clearly but not overly complex. I would like the chatbot to direct me to additional resources or offer to connect with a human representative if the question exceeds its capabilities.|3|4|4|3|5|4|2|5|88be59647581deb262307b4ba42c67
male|20-29|3|3|information about travel time , the most efficient way to travel on a specific destination , what i can and i cannot bring with me ,how i am expected to behave in a specific country and cultural differences ...|i would talk to a chatbot like i talk to a real person but i would use key words to help it and make the chat more efficient |it would propably be similar answers as a search engine ,not much detail but very specific to what i asked |4|4|5|4|2|2|2|4|4c56b791532b2baae6b7eba1a8af9b
male|30-39|3|3|I would use it for work purposes, to try and assist me with interpreting difficult work situations.\r\nIt also helps when I need to fix grammar or spelling. |Its very similar to a search engine just a bit more engaging and interesting.|I would expect precise details but not all the time sometimes it does take a bit of skill to pose the correct questions|4|4|4|3|4|4|3|2|39f64ccdabe4372ed615752f572e41
female|20-29|1|1|what are the best recommended hotels in that area?, can i get information of the company from their website?|Its almost similar to a search engine|i would expect good quality answers and get more accurate information|4|4|5|4|5|4|4|2|997737fd3e5a316e16a9fe575c3c94
