USER: 665d745228d846bea3c49b0e || AGREED: True
USER: 5cfaf97eadb3da00013c1eaa || AGREED: True
USER: 665d745228d846bea3c49b0e || PRE-SURVEY: {'exp_formality': '2'}
USER: 665d745228d846bea3c49b0e || ORDER: ['FORMAL', 'PERSONAL', 'FRIENDLY', 'BASE']
USER: 665d745228d846bea3c49b0e || NODE_ID: 16363755463439219
USER: 5cfaf97eadb3da00013c1eaa || PRE-SURVEY: {'exp_formality': '2'}
USER: 5cfaf97eadb3da00013c1eaa || ORDER: ['BASE', 'FORMAL', 'FRIENDLY', 'PERSONAL']
USER: 5cfaf97eadb3da00013c1eaa || NODE_ID: 16363755463439219
USER: 665d745228d846bea3c49b0e || Preferences: {'impressions1': 'Wordy, boring, unnecessary ', 'impressions2': 'Better, to the point, snappy, normal', 'impressions3': 'Inaccurate', 'impressions4': 'Succinct ', 'user_ranking': 'B,d,c,a', 'best_template': 'b'}
USER: 5cfaf97eadb3da00013c1eaa || Preferences: {'impressions1': 'expensive, formal, business', 'impressions2': 'accounting, money, reimbursment', 'impressions3': 'clear, informal, comprehensive', 'impressions4': 'understandable, clear', 'user_ranking': 'd,c,b,a', 'best_template': 'D'}
USER: 5e9d7f715597de04e33079d5 || AGREED: True
USER: 5e9d7f715597de04e33079d5 || PRE-SURVEY: {'exp_formality': '2'}
USER: 5e9d7f715597de04e33079d5 || ORDER: ['PERSONAL', 'FORMAL', 'FRIENDLY', 'BASE']
USER: 5e9d7f715597de04e33079d5 || NODE_ID: 16363755463439219
USER: 5e9d7f715597de04e33079d5 || Preferences: {'impressions1': 'Simple, understandable', 'impressions2': 'Clear, precise ', 'impressions3': 'Straight to the point, clear, understandable', 'impressions4': 'Clear, understandable', 'user_ranking': 'B, D, A, C', 'best_template': 'A'}
USER: 5efa27ec1c76730eff3dad8e || AGREED: True
USER: 5efa27ec1c76730eff3dad8e || PRE-SURVEY: {'exp_formality': '3'}
