expectations_1|chat_exp_1|chat_exp_2|chat_exp_3|chat_exp_4|chat_exp_5|chat_exp_6|chat_exp_7|chat_exp_8|reliability_1|reliability_2|reliability_3|reliability_4|reliability_5|reliability_6|trust_1|trust_2|umux_1|umux_2|umux_3|umux_4|strengths|weaknesses|likes|dislikes|user
in the last chat, the answer related to a pressing need, but what is considered a pressing need was unclear. \r\notherwise, it was pretty solid tbh. |5|2|3|4|2|2|4|3|4|4|2|3|3|4|4|4|4|2|3|2|It got me the information I needed|Occasionally it asked me a question for which the answer was in my original question (eg the taxi)|It was easier than searching an out of date company intranet |NA|c7bb706cdb623739bf9e80c638e4eb
I felt the information I received was quite good and what i was expecting mostly. |4|4|3|4|3|3|4|4|4|4|3|4|3|4|4|4|4|2|4|2|Responded fast with detail responses |Sometimes struggled to understand what I needed |I liked the whole interaction with the chatbot. The ease of it was my favorite part|There was nothing I disliked |6248a541d241dda06d678a24a511ce
It answered my questions completely with short, concise answers.|3|2|4|3|3|3|2|4|4|4|2|3|3|3|3|3|4|2|4|2|Answer my questions promptly.|Answer vague questions.|It's simple to use. |It takes time when it comes to complex questions. |f94646ef8880a873c626e0b7300352
It mostly matched of expectations. The conversation seemed a bit scripted based on how easily I was able to find the information I was prompted to do.|2|4|2|4|4|1|1|4|2|3|1|2|2|3|4|3|5|1|5|1|It found the information I was looking for easily.|I have the feeling it relies on recognizing keywords a lot. If I had a more complex question I'm not sure if I could find the answer.|It found the information I was looking for quickly.|Nothing.|e87d3ef50c5eb08a51f6e25cdd413a
It did not meet my expectations because sometimes it did not answer my question.|4|2|5|1|4|3|4|2|3|2|2|2|2|4|3|3|2|2|5|3|recognise the topic and keywords|answer all of my questions|it was fast when responded to my answer|it was not precise|73ea4eee3beb783446d5e7ab391055
it was good, needed to know topic sometimes after question was asked|4|5|4|4|5|4|None|5|4|4|5|1|4|2|2|2|3|2|4|5|Quick|Not understand at once|It was easy to type in|Not a clever bot|d4627c2d60993f6c2df67458967a99
Pretty good, but could be better for a chatbot i think|4|3|2|4|3|4|5|4|4|4|2|2|3|4|2|2|4|1|5|5|Tell precise answers|Be fast|Easy to understand|nothing really|421203b41777bdbe17c87832aa4397
All my questions were not only well answered but also links to relevant sites and/or references were provided.|5|2|2|4|2|3|5|3|5|5|4|5|4|4|4|4|5|1|5|2|Help me get the correct and necessary information before a business trip.|Get precise details on a specific location.|Instant response.|Nothing.|0b7848a9e1bfef18f523ef0a9d4485
The chart box was not so much engaging it was just answering with short answer without any more interaction.  |4|4|None|2|5|4|4|2|2|3|4|4|4|2|2|2|2|1|2|1|improve on interaction like gave more options to solve my problem|some information i requested they were not answered |at first it was gave answers that were reliable to use but very short, |short answers and  missing questions |e0172ae6660ce8f7cee3f64ce83f52
The chatbot answered all my questions very well and I felt good to interact with it|1|5|3|5|4|5|5|1|5|5|1|5|1|5|5|5|5|1|5|1|Answer questions correctly and faster|Nothing at all|The way it was answering my question was acceptable |Nothing |34ed72f1fa250d0b32a405d1749d28
