gender;age;experience_chatbots;experience_businesstravel;expectations_1;expectations_2;expectations_3;chat_exp_1;chat_exp_2;chat_exp_3;chat_exp_4;chat_exp_5;chat_exp_6;chat_exp_7;chat_exp_8;user
other;30-39;3;1;I would expect a chatbot to be able to provide me information that is about fixed properties of the travel, such as price, flight times, food availability, etc. A real person would be better to talk to if the question was complex, or more emotion based. ;I would use more natural language with a chatbot than I would with a google search, but I would make sure that the question was phrased very clearly (more so than I would were it a real person).;I would expect the information to be accurate and as detailed as perhaps it would be on a company website. I would expect the style to be typical of chatbots, in that it would sound quite formulaic. ;4;3;4;5;4;3;4;3;4b9924c0c8ce326ac3c1e1688937c6
female;40-49;3;3;Up to date information;Should be able to ask a specific question and get the information I need;Expect accuracy and as much level as detail needed to give all regulation information required;2;4;4;2;5;1;2;3;e5de0b4b0679651ef175fceeb3413f
male;30-39;3;3; would use a chatbot for routine, simple inquiries vs prefer contacting a real person for complex or urgent matters;place emphasis on keywords and specific questions to get relevant responses;provide accurate answers in a concise manner, aligning with the company's policies and possibly directing me to relevant sources for the response;2;4;4;4;1;2;2;4;7224eb019715bd25cc799d87862cf7
female;50-59;2;1;I would think that I would get generic information from a chatbot, with little detail. It would give me the answers to FAQs. I would consider contacting a real person if I needed an answer to a specific question which was unlikely to be a FAQ.;I would keep my input to the chat box very simple as I would feel that it was only picking up on key words to give me an answer, so I would be very specific and to the point. With a real person I would give some background to my question e.g. tell them my issue etc.;I would expect a formal answer which would be very general without much detail.;2;4;5;2;4;1;3;5;273666715e559c45c6cc9a2e7f5033
female;20-29;3;2;If the question is simple and commonly asked, with a simple answer.;I would use short sentences or just keywords. This is similar to using a search engine.;A very concise and generic answer.;2;4;5;4;4;1;3;4;2e4bd44563cdfd591a0a4bd566c308
female;30-39;5;3;I\xe2\x80\x99d expect to be provided guidelines on business travel, booking information, accomodation information, use of business devices while traveling, safety and security while on a business travel. I\xe2\x80\x99d consider using chatbot instead of talking to someone or reading through a document when I\xe2\x80\x99m looking for generic info or require immediate info and don\xe2\x80\x99t have the time to read or ask someone. ;I would ask it, \xe2\x80\x98What are the things I need to know about business travel?\xe2\x80\x99, \xe2\x80\x98Can I bring my work phone when I\xe2\x80\x99m traveling?\xe2\x80\x99 \xe2\x80\x98Do I get a per diem when I\xe2\x80\x99m on a business trip?\xe2\x80\x99 Stuff like that. It\xe2\x80\x99s different from how I use search engines because I usually only type keywords like \xe2\x80\x98Guidelines business travel\xe2\x80\x99, \xe2\x80\x98Mobile phones business travel\xe2\x80\x99, \xe2\x80\x98Per diem allowance business travel\xe2\x80\x99. My chatbot prompts are more similar to how I would ask a real person.;Based from my experience of ChatGPT, the first answer can be quite comprehensive in terms of level of detail. It can be structured quite well, i.e., breakdown of topics. However, correctness can be an issue but ChatGPT provides a disclaimer that it can only provide information based on a period of time. ;5;1;4;2;4;3;5;2;d9a101002e1d23b86bf785bab7b5e3
male;40-49;3;3;i want the chat bot to anticipate my question and have an answer ready and just done for me. like all my basic info like name and phone or email to find out stuff as quickly as possible.;hey bot help me get me what i want. whatever it is.;i want the highest of quality answer. step by step instructions, and how to get it done next time. ;3;4;4;4;5;4;4;4;9597e20137307a6a6b3dc058772a5d
male;20-29;4;1;roughly up to date business travel regulations at a particular company. Information such as requirements or things that are not allowed in that particular company. For general questions which I would normally use google for i would use the Chatbot. Any specific or tailored questions which cannot be found using the chatbot or online would then be taken to a real person. If the company is very low-key or not a well known start up etc. then I would read through the company policy documents.;What are the business travel regulations at (Company name). This is similar to how i would use a search engine and how i would ask a real person.;if there are many companaies with similar names i would exact the chatbot to give incorrect information. I would in general expect a list of dos and don'ts, a casual, friendly tone, and any recommendations if relevant.;4;2;5;3;3;3;4;3;aba8a70de6cd22ed03570c48020315
female;20-29;2;1;I would aim to get fairly generic information from a chat bot. I would use it to find a solution to a more general problem, rather than something more specific. The chatbot would probably do a better job at summarising the regulations, meaning I would save time by not having to read the policy documents.;Summaries the business travel regulations at this company. It would be pretty much identical to other interactions. ;Straight to the point, perhaps technical jargon, less emotion;2;4;4;4;2;2;4;3;4b05d78d95dab53136cd67385d52d1
female;20-29;3;1;Asking about hotel prices, allowances, food budgets, how to book the trip, forms needed. Would consider using the chatbot for quick information with clear answers, or as my first port of call. Would seek further clarifaction from a real person if needec;Would use full sentences, rather than just keywords that I'd use with google. would not use as much words as i would a real person;high level of detail, formal style, typically correct if a simple, straight forward question;4;2;5;2;2;2;4;4;93b0ca92a0deeff80f839bb59d2f5d
male;20-29;3;2;I would expect a chatbot to provide basic basic information such as hotel check-in and check-out times, booking confirmations and locations etc. I would consider using a chatbot to find out this type of information rather than speak to a human or company documents.;I would phrase my input as clearly as possible similarly to how i would use a search engine. ;I would expect an easy-to-read and accurate answer.;3;4;4;4;4;2;3;3;6d91b06047716a0a0b2c2cd86fdc78
female;50-59;2;3;i would expect to get everything that i could read on google, i would use it if i was looking for a different way of getting inormation;i would word it just the same as i would with text or google;i would expect full detais as if it were on a text etc;5;2;4;5;5;5;5;5;109a7e62eb34a81bd913c0b17494b2
female;30-39;2;1;I would expect to get very general information from a chatbot that could be found on a companies website. ;I would use key terms, not necessarily full sentences. ;I believe it would be a copy and paste answer from the website information, and that it would be correct as long as I used the correct terms to ask. ;4;4;5;2;4;2;5;2;26b29d379574e280bd3440f53ad5a2
female;30-39;3;1;Factual and procedural information. \r\n\r\nIf I thought it was going to quicker (esp to get through to vs a real person), if I thought I could find the information faster. ;Probably more similar to how I would ask a search engine - key words. ;Technically correct but perhaps not for the context - I would expect to check facts. ;4;2;4;4;2;2;5;2;47e68725c26f72d805709141e76fd0
female;40-49;4;2;not personal just robotic;id just speak to it as if human;id like info to be correct and to refernce me to relevant articles;4;4;4;4;3;3;4;4;e5088a3c41e522ad23886b6a2eb748
female;50-59;3;3;I would expect to get factual information from a chatbot. I would want to speak to a person if I wanted more personalised details or information;No emotion-just use of key words;Limited information. Unable to always answer my question. Sometimes go round in circles trying to get the information required;2;4;5;3;4;2;4;3;d96abd518a2b3832ed0d1255257326
female;30-39;3;3;Would use chatbots to get quick answers without having read through all the company policy documents. Chat bots should have the answers to FAQs so should be faster.;I would try to be as specific as possible and ask in a direct question format. I.e. how much can I be reimbursed for lunch while on travel? It would be different as more specific to the company rather than googling. ;I would expect an accurate answer if it was a chatbot for the specific company. I would want to be able to rely on the information so it would have to be correct otherwise it's not dependable.;3;4;4;4;3;2;4;3;69bc89bee85d16bf7e30834c2a2b3f
male;30-39;3;1;I expect chatbots to give me general facts. Prices, price comparisons, policy information, dates/times. Basically just data that I'd be looking for myself. A human would be much better at helping me through the process but a chatbot could give me numbers without having to go through human interaction. ;I'm looking to travel to x location on x date. What is the lowest price flight on x date? This is a somewhat similar question as I'd pose to a person and quite different from how I'd use a search engine.;I'd expect the correctness to be top notch but the rest to be lacking.;3;5;4;3;4;2;4;2;d7ea9d8d7835bb048db356e91cfce9
male;20-29;2;2;anything i ask it - and it responds with a lot more detail. it collates all info available to it so is a lot more thorough than a search engine.;I would use the chatbot like a search engine - but maybe add more detail knowing it can cope with it.;extremely high quality - lots of detail in every response in my experience.;5;2;2;3;2;4;2;1;57affbcf1a53cf8152a4f84b337572
male;40-49;2;2;I would expect basic information that I could search for on the web and get a simple answer to a question. I would expect to be able to get information about a hotel facilities, parking arrangements, cancellation policy, transport links, location or cancellation policy. How much to spend on hotel and how much I can spend on food.;If I cannot make a meeting, can I cancel a hotel and can I get a refund?;I would expect a chat bot to point me to the correct place and where the terms and conditions would be if I booked it.;4;4;4;4;2;4;4;4;d8ea183c5c1aa1eb1d9f8b7677c4b2
female;40-49;2;3;info that can be found on the internet, a real person might have more insider info. ;I would pose questions with specific descriptor or key words ;I think it will be a lot of info, I'm just not sure on the quality;3;4;4;4;4;3;4;3;439f4ba6c2ffb420d0c05c0e246d3f
