expectations_1;chat_exp_1;chat_exp_2;chat_exp_3;chat_exp_4;chat_exp_5;chat_exp_6;chat_exp_7;chat_exp_8;reliability_1;reliability_2;reliability_3;reliability_4;reliability_5;reliability_6;trust_1;trust_2;umux_1;umux_2;umux_3;umux_4;strengths;weaknesses;expectations_2;expectations_3;user
My expectations were met correctly - some vague answers, but often not actually answering the question.;4;5;4;4;4;2;4;3;4;4;2;2;3;3;2;2;3;2;4;2;Present options, explain with more information.;Explain to me how much I could earn using my own car. Provided an irrelevant answer and ended the conversation.;Easy to use.;Not all information was relevant/accurate.;80dce4aa2bb6e4747dea90c91ca9fe
fairly well;4;4;4;4;4;2;4;4;4;3;4;3;4;3;4;4;4;3;4;4;provide answers;lengthy answers;quick answers;unability to further ask questions;fc4cff10337919ad57c935de757796
it was very disappointing overall. It felt like the chatbot really struggled to interpret my questions and would go off on completely the wrong tangent and provide me with information completely unrelated to my initial question. I feel like there is a lot of work to be done before this chatbot can be of any use.;1;2;4;2;5;1;4;None;1;1;5;1;4;1;1;1;1;5;1;5;not much honestly. It held a database of information but this information was not easy to access accurately.;providing the correct information from the database depending on the question asked. it would often provide information completely irrelevant to the questions being asked.;Honestly - nothing. was an incredibly frustrating experience all around.;The lack of accuracy of the chatbots responses were the most frustrating aspect for me.;c951b710a16924c54f90bccc29460b
i always feel as though chatbots give prepopulated ansers;2;4;4;1;5;1;None;1;2;1;5;1;4;2;2;2;2;4;3;5;give more personalised answers;prepopulate answers;nothing really;do not like using as they very vague;767d6d0026f6568ed1fbe324f434ee
It was mixed. In some ways it was efficient and answered the first few questions well and quickly. But it ended the chat when it answered my question and for the last query, that meant my questions were unanswered.;4;2;2;None;3;2;5;1;2;3;4;2;4;2;3;3;4;2;4;1;Answer queries efficiently in one-turn.;Provide additional context or ask follow-up questions to ensure my query has been answered.;It was quick.;It was too quick and meant I was cut off without knowing the answer.;ca54185f7f55c7c28a299578c6d6c1
It was ok. The responses were fairly brief and did not offer any opportunities to extend the dialogue further if my query wasn't answered correctly on the first attempt. ;4;2;3;3;4;3;4;2;4;3;3;3;4;4;3;3;3;2;4;3;Provide specific information relating to different circumstances;Extend conversation further, very brief and abrupt responses;It mostly provided the answers in a clear format;No opportunity for further questions;7addf36ad46517524764cd73b84d5b
Mostly as expected, it struggled with unusual questions;4;4;4;3;3;1;2;3;2;2;5;3;4;3;4;4;3;4;3;4;It did provide some information and answered some of the questions;It kept thinking I was having an emergency and occasionally forced me to stop the dialogue before the question was answered. It wasnt good at providing a user experience where I could keep going until I got the answer I needed, and was instead focused on ending the dialogue.;It was fast;It occasionally gave a wall of text about covid that was unnecessary;d3f5d2249e51c387c882cb587ba9ca
rubbish. Didn't understand accommodation at all, kept telling me about emergencies!;2;4;4;3;4;1;3;3;2;2;3;2;4;2;2;2;1;4;3;4;not sure;understand things;nothing;most of it;3531297f0bd32d54dcc23e8e8a50ad
very quickly and the answers were very brief directing me to forms;4;3;2;2;5;2;3;2;2;3;4;3;4;3;3;3;3;4;2;3;give basic answers in forms;interprate the questions properly;polite;frustrating;266f4afc0f4957543ecd710668a801
was exactly as expected. it provided a blanket answer, if i needed more specific information i had to provide a more specific follow-up question;4;4;5;1;4;2;5;4;3;4;3;2;3;3;4;4;4;4;4;4;answer simple questions;answer questions about specific scenarios;it provided fast answers;not useful for very specific situations;597bc392e979365272ccf5960b6679
