gender|age|experience_chatbots|experience_businesstravel|expectations_1|expectations_2|expectations_3|chat_exp_1|chat_exp_2|chat_exp_3|chat_exp_4|chat_exp_5|chat_exp_6|chat_exp_7|chat_exp_8|user
male|30-39|3|3|Information regarding customer service. Times when contacting a real person is unavailable|it is similar|excellent quality|4|4|4|4|4|4|4|4|fc4cff10337919ad57c935de757796
female|40-49|4|3|usually if i have purchased something , used it for insurance aswell|i would speak to it as if it was a person|i would expect not a prepopulated answer |5|5|5|5|2|2|4|5|767d6d0026f6568ed1fbe324f434ee
female|20-29|4|3|I would expect to be able to find out what the business travel policies are, the cost for adding additional items, confirming my details, finding out how to change the time/date of travel and what's included in the cost of the ticket. In most instances, I would see if the chatbot could answer the question first. If it was slow or inaccurate, I'd just want to speak to a person.|I would probably just outline the query I had as I would with a real person and see if the chatbot managed to understand what I was saying.|I would expect that the style would be friendly and professional, that there would be a simplified level of detail and that it would mostly be correct but perhaps not answer very niche questions.|4|2|2|5|2|2|2|4|ca54185f7f55c7c28a299578c6d6c1
female|30-39|3|1|I would be expecting a chatbot to give me quite generic information about a service for business travel. It might be able to pick specific information that I was looking for from a website or it might be able to set up a booking for me based on information that I provide. It might be able to provide information relating to any accounts or bookings that I have. I prefer to contact a real human when perhaps making changes to a booking or needing information relating to a more specific query. |It would be similar to how I ask a real person. |I would expect to get a similar style to what I might get from a real person nowadays. However, I would be prepared that there might be some mistakes and they are probably using more general information so I wouldn't expect a huge amount of specific detail/specialised information. |4|3|2|5|4|2|4|3|7addf36ad46517524764cd73b84d5b
female|30-39|3|2|expense allowances, code of conduct|In simple, short sentences using simple language, no jargon|I expect very direct, to-the-point answers|4|5|5|3|2|1|3|4|597bc392e979365272ccf5960b6679
female|30-39|3|3|Finding out about opening times of facilities and what is available nearby such as transport and restaurants etc. If it is something that is generic for the hotel.|I would ask a question like 'ask jeeves' so a simple question with key words|I would expect simple to the point information and if there are website links. No spelling mistakes, formal. |3|4|2|4|2|2|4|3|fe874db03aadd15d056f5ebd116a85
female|50-59|3|1|to gain basic information about business travel|yes the same|correct information|3|2|4|3|3|4|3|2|266f4afc0f4957543ecd710668a801
female|20-29|3|1|from a chatbox i would expect to find out any information that is fixed so any things I will be charged for during the business travel and maybe things I should be expecting during the travel period.|i think it is quite similar but with a chatbox you would have to be much more clearer in what you are trying to ask as you cant assume that it will understand what you mean.|i would expect to get a detailed and formal answer with no mistakes.|2|4|5|4|4|2|4|4|85452be9505ef3ee3499d59b5300f3
male|40-49|3|4|I'd expect it to be able to extract simple information from a written policy quickly|As I would ask a real person|I would expect it to b 100% or to pass me to a human|4|2|3|4|2|3|4|4|09b1a7da8812a2efd58c0a1b92cc0b
female|30-39|3|1|Factual information that would be provided on the company's website eg policies, opening times, contact information. I would use a chatbot for a quick enquiry but I would contact a real person for a more complex or important question|I would use more simple language for the chatbot to make sure it understands the question I am asking. I would use a full sentence whereas for a search engine I would use key words. For a real person I can explain in much more natural language|Shallow, low detail, hopefully pointing me towards more information (documents, real person) if it cannot provide an answer itself|1|5|5|4|4|1|3|3|ed81efaafec6d941adbdf96636bd6d
male|40-49|3|3|same as google but more complete|would be the same|similar to ahuman one, but more complete and intelligent|5|5|1|5|1|5|5|1|7f946e73fd33c3a2f15beac9248fc6
male|30-39|3|3|I would use chatbox if I was stuck on a specific business question out of my skill set to broaden my information. This is if there is not a person who I feel can be trusted around to give me the information I need in person. Or if I am looking to learn about a new document I would ask chat box to see what the general opinion is.|I would be more specific and direct with a chatbox than I would with a real person to make sure I am getting the information I need.|I would expect it to be in good English and easy for me to understand. I would expect the level of information to be detailed and to a high level of knowledge and 100% correct in the information I am being given.|4|3|5|5|4|3|4|3|1122e007efd6d6c220883470890125
male|20-29|4|1|I would expect to find information that is accessible online. I would use a chatbot if I'm comparing information from various sources and I'm looking for a summary. I would contact a real person if I need more in-depth information that requires more thinking or if I have a unique situation that requires human judgement.|I would phrase my input as if I'm talking to another person.|I would expect the information to be correct, with sources I can verify myself if I doubt the accuracy of the information.|5|2|4|5|2|3|3|3|eb7cdc7219ceeb7b2862154329eca8
female|30-39|2|1|Finding out about locations/conferences you'd be attending. Finding out what you might or might not be able to expense. Learning more about the airports or places you are travelling to.|"""Tell me about X conference in X city, what to expect"".  I think my request would be more vague and less specific than if I contacted a real person. "|I wouldn't expect specific details for my company in particular, I'd only expect general information or collected information from the internet and other reviews/shared experiences that might be relevant.|3|5|4|3|4|1|3|3|6a142c3f0766e201573fad3a498a84
female|20-29|3|2|Basic Information can be obtained from a chatbot and anything with a simple question and answer. I.e info which is obtainable from a website with a bit of browsing. Anything involving changes to bookings I would rather contact a real person.|Simple, one question at a time. Yes, I would use a search engine or ask a real person in the same way. |Professional. A lot of detail. Correct. |4|3|4|4|4|3|4|3|443650e58eea05ea703d12d8b7cf06
female|40-49|3|3|What the fastest route is to get somewhere, which approved hotels have availability for specific dates, what the expenses policy is.|I'd use simpler language to interact with a chatbot than a human.|Able to answer basic queries based on a set of skills it's been trained on, possibly won't work if you don't use exactly the right phrases.|2|4|4|4|4|2|2|5|e004be8181957be418d758d41b56e2
female|20-29|2|1|I assume a chatbot has an extensive knowledge of facts. In a time crunch I would probably resort to a chatbot because there will be no risk of waiting long periods of time for an answer or of spending a great deal of time reading through unrelated information.|"The phrasing would be a bit more abrupt/brusque than if I were asking a real person. I probably wouldn\'t use phrases like ""please respond when you have time"" or ""could you let me know __ at your earliest convenience."" for a search engine I probably wouldn\'t phrase it as a question or a demand, just type in the subject I want information on"|Honestly I'm not sure how accurate a lot of chatbots are so I'm not sure I would fully trust the answer and would probably look it up afterward just to double check|2|2|5|3|2|4|5|4|4d1e5f75ce5b1667a380c39564e7c9
male|20-29|4|1|I would expect a well trained chat bot should be able to pull relevant and public information from the company ready for the user. They should be able to provide prices, they should be able to provide the best options for you as a customer.\r\n\r\nSimply, in the situation where I'm not getting the answers I am expecting with a chat bot, I will move through to a real person, with company policy documents being my last point of call.|I would phrase it much like asking a real person. In the age of AI, I think chat bots are becoming more and more intelligent, and we should treat them more-so like speaking to a human being to get ourselves the most valuable result.|I would expect a high-quality answer, which was correct. If it wasn't correct, maybe I wouldn't search for the information from any other source on the website, and take it as 100% truthful. It doesn't have to be well-written, but it should at least make sense.|5|5|4|5|5|2|4|3|a8ce5b01446119bd11123e13fb1607
female|30-39|3|2|I would expect to be able to get various business travel information about different destinations, places to stay and ways to travel. I would use a chatbot if I needed to get information quickly.|I would make sure the input I used was very concise. It would be different to how I would use a search engine or ask a real person. |I would expect to get a answer in a paragraph or steps and for it to be quite detailed and the correct usage of grammar and spelling. |2|4|5|5|2|2|2|4|5de43e36ff95340991cc2c338f85da
female|30-39|3|1|I expect that one would find information about how to manage travel expenses best, most efficient ways to travel. arranging flight tickets, hotel. car rentals etc. I think I would consider using a chatbot first and see how that works out then use a real person as a secondary option.|I think that I would phrase my input to a chatbot close to what I would use for a search engine but more abbreviated than for a real person.|I would expect a chatbot to have very brief and direct answers but to often not meet the needs I have.|2|5|5|4|4|2|5|4|1d6610aff8f95079a27b87ed0804c5
female|30-39|3|1|If I was trying to get straight forward information that had a definite answer|Similar to asking a human or a search engine|High level of detail and accuracy|4|1|3|4|3|2|4|5|000650684db95bdac754d1c314c481
female|20-29|3|3|I would expect the chatbot to know details about the property, like check-in and check-out times, parking lot availability, details about my room, hotel facilities, etc. I think these should be very easy questions that any automated software/program can answer without me having to get in touch with an actual person.|I would usually phrase it similarly to how I talk to real person, but try to answer a bit more specifically or precisely, so it doesn't get confused if I use too many words.|I would expect the chatbot to be able to give me the exact answer to my questions. It doesn't have to be fully in detail, I feel like it should be able to give me short but essential details.|3|5|5|4|4|2|3|5|cac9a5318d3797da3251fd50c19f03
male|30-39|3|1|General information such as hotels around the destinations, and more logistics such as the type of flight to use and their estimated prices|"I phrase in an interactive and low-key commanding manner- more of ""Give me an estimate of a 4 day trip to USA"". It is slightly different manner to what I would approach it with search engine and human being"|Depends on what I need. I expect correct answer for info such hotels around but expect an estimation for prices|4|4|5|4|4|3|4|1|46f3844380df36ae14005f2774a7b8
male|20-29|4|2|Information I would expect to be able to get from a chatbot are time of flight, cancellation if need be, hotel locations, availability of flights or rooms, location of restaurants, etc. I would consider using a chatbot during out of office hours, if I cannot get through to a real person or if I am in a hurry and I cannot read the documents.|It is different, the chatbot usually works you through a set of questions before giving you the opportunity to input the words you want. Most chatbots I have usually require some specific information to be able to understand what you are asking.|I expect the answers to be given systematically, if possible with procedures outlined. I will also need UpToDate answers not outdated ones, clearly written and easy to understand. |3|4|4|4|3|3|3|4|b2addfdd02c9573841583c9c41ea29
female|40-49|4|3|I would expect interactive answers o questions regarding finding out information about certain business centers, travel agencies and so forth|"""Which travel agencies cater for business purposes in South Africa?"""|"""For business purposes, you may enquire with the following agencies: ..."""|2|5|2|4|1|4|4|2|6e69a4eee06b1f4647b079822a2f81
