dialog_system	ling_style	chatbot_exp	length	success	sub_length	sub_success
cts	ling_ad	3	7	1	2	1
cts	ling_ad	3	2	1	3	3
cts	ling_ad	3	5	1	3	3
cts	ling_ad	2	2	1	3	4
cts	ling_ad	2	4	1	3	4
cts	ling_ad	2	4	1	3	4
cts	ling_ad	4	5	1	4	3
cts	ling_ad	4	2	1	2	1
cts	ling_ad	4	4	1	4	1
cts	ling_ad	5	4	1	2	2
cts	ling_ad	5	2	1	3	4
cts	ling_ad	4	15	1	4	3
cts	ling_ad	4	5	0	3	4
cts	ling_ad	3	7	0	3	4
cts	ling_ad	3	5	1	3	4
cts	ling_ad	3	5	1	3	3
cts	ling_ad	4	4	1	3	3
cts	ling_ad	4	2	1	3	4
cts	ling_ad	4	3	1	3	4
cts	ling_ad	4	7	1	3	3
cts	ling_ad	4	2	1	2	2
cts	ling_ad	4	6	1	3	2
cts	ling_ad	4	4	1	4	4
cts	ling_ad	4	2	1	3	4
cts	ling_ad	4	6	1	3	4
cts	ling_ad	3	6	1	3	4
cts	ling_ad	3	2	1	3	4
cts	ling_ad	3	6	1	4	2
cts	ling_ad	3	4	1	3	4
cts	ling_ad	3	2	1	3	4
cts	ling_ad	3	4	0	3	4
cts	ling_ad	3	5	1	3	3
cts	ling_ad	3	3	1	3	3
cts	ling_ad	3	3	1	3	4
cts	ling_ad	3	6	1	3	4
cts	ling_ad	3	7	0	3	1
cts	ling_ad	3	6	1	3	4
cts	ling_ad	3	11	1	3	1
cts	ling_ad	3	2	1	3	4
cts	ling_ad	3	10	1	3	3
cts	ling_ad	4	6	1	3	3
cts	ling_ad	4	2	1	2	2
cts	ling_ad	4	8	1	4	3
cts	ling_ad	3	27	0	3	3
cts	ling_ad	3	12	0	2	1
cts	ling_ad	3	3	1	3	3
cts	ling_ad	5	10	1	4	2
cts	ling_ad	5	2	1	3	4
cts	ling_ad	5	4	1	3	4
cts	ling_ad	3	28	1	3	3
cts	ling_ad	3	35	0	5	1
cts	ling_ad	3	21	1	3	4
cts	ling_ad	4	4	1	2	3
cts	ling_ad	4	2	1	2	4
cts	ling_ad	4	3	1	3	4
cts	ling_ad	3	2	1	3	4
cts	ling_ad	3	2	1	3	3
cts	ling_ad	3	3	1	4	4
cts	ling_ad	3	14	1	4	4
cts	ling_ad	3	2	1	3	2
cts	ling_ad	3	21	1	4	2
cts	ling_ad	5	4	1	3	4
cts	ling_ad	5	2	1	3	4
cts	ling_ad	5	4	1	4	4
cts	baseline	3	19	1	3	3
cts	baseline	3	2	1	3	4
cts	baseline	3	8	0	1	1
cts	baseline	3	3	0	2	2
cts	baseline	3	4	1	3	4
cts	baseline	3	5	1	3	3
cts	baseline	3	2	1	2	1
cts	baseline	3	6	1	3	3
cts	baseline	2	4	1	3	2
cts	baseline	2	6	1	3	4
cts	baseline	2	8	0	4	2
cts	baseline	3	4	1	2	2
cts	baseline	3	2	1	3	4
cts	baseline	5	6	1	3	4
cts	baseline	5	2	1	2	3
cts	baseline	5	6	1	3	4
cts	baseline	3	2	1	3	3
cts	baseline	3	2	1	2	2
cts	baseline	3	5	0	3	3
cts	baseline	4	5	1	3	2
cts	baseline	4	2	1	3	4
cts	baseline	4	13	0	3	3
cts	baseline	2	8	1	3	3
cts	baseline	2	2	1	3	4
cts	baseline	2	3	1	3	4
cts	baseline	3	6	1	3	4
