expectations_1|chat_exp_1|chat_exp_2|chat_exp_3|chat_exp_4|chat_exp_5|chat_exp_6|chat_exp_7|chat_exp_8|reliability_1|reliability_2|reliability_3|reliability_4|reliability_5|reliability_6|trust_1|trust_2|umux_1|umux_2|umux_3|umux_4|strengths|weaknesses|expectations_2|expectations_3|user
fairly well|4|4|4|4|4|2|4|4|4|3|4|3|4|3|4|4|4|3|4|4|provide answers|lengthy answers|quick answers|unability to further ask questions|fc4cff10337919ad57c935de757796
i always feel as though chatbots give prepopulated ansers|2|4|4|1|5|1|None|1|2|1|5|1|4|2|2|2|2|4|3|5|give more personalised answers|prepopulate answers|nothing really|do not like using as they very vague|767d6d0026f6568ed1fbe324f434ee
It was mixed. In some ways it was efficient and answered the first few questions well and quickly. But it ended the chat when it answered my question and for the last query, that meant my questions were unanswered.|4|2|2|None|3|2|5|1|2|3|4|2|4|2|3|3|4|2|4|1|Answer queries efficiently in one-turn.|Provide additional context or ask follow-up questions to ensure my query has been answered.|It was quick.|It was too quick and meant I was cut off without knowing the answer.|ca54185f7f55c7c28a299578c6d6c1
It was ok. The responses were fairly brief and did not offer any opportunities to extend the dialogue further if my query wasn't answered correctly on the first attempt. |4|2|3|3|4|3|4|2|4|3|3|3|4|4|3|3|3|2|4|3|Provide specific information relating to different circumstances|Extend conversation further, very brief and abrupt responses|It mostly provided the answers in a clear format|No opportunity for further questions|7addf36ad46517524764cd73b84d5b
very quickly and the answers were very brief directing me to forms|4|3|2|2|5|2|3|2|2|3|4|3|4|3|3|3|3|4|2|3|give basic answers in forms|interprate the questions properly|polite|frustrating|266f4afc0f4957543ecd710668a801
was exactly as expected. it provided a blanket answer, if i needed more specific information i had to provide a more specific follow-up question|4|4|5|1|4|2|5|4|3|4|3|2|3|3|4|4|4|4|4|4|answer simple questions|answer questions about specific scenarios|it provided fast answers|not useful for very specific situations|597bc392e979365272ccf5960b6679
It was lacking information on some answers and was expecting more. |None|5|3|2|5|2|4|2|3|4|2|1|2|3|3|3|2|2|4|3|Speed of response and was simple and to the point. |More information, it was too short with information or where i could find more information on the site.  |Speed and was able to understand what I was looking for. |Lack of information |fe874db03aadd15d056f5ebd116a85
It met my expectations of providing me with factual answers. It also met my expectations of having no opportunity to follow up and get more detail, ask further questions or talk to a real person - I would like a chatbot to do this but all the ones I have used do not so this one met the expectation of behaving similarly to chatbots I have used before|3|5|5|1|5|1|3|3|2|3|3|1|4|2|2|2|2|3|3|2|Recognise key words and provide useful general information|Answer personalised queries or respond with any level of detail|Quick to use, gave me links to more information|Could not provide an answer to a more complicated question|ed81efaafec6d941adbdf96636bd6d
It was fine, it did what I would have anticipated pointing me in the direction of further information etc. It did not provide an answer to the second question, this was a multi fauceted question and it struggled with this.|4|3|4|1|5|1|4|4|2|3|3|2|2|2|2|2|2|4|4|4|Simple answers to single questions, pointing people to further reading and information|Answering muti-fauceted questions|It was fast to respond|It wasn't abel to provide answers to some questions|09b1a7da8812a2efd58c0a1b92cc0b
the first question was answered very quickly and well because the question was simple and there was only one bit to it however the second question had 3 bit to it which made it hard for the bot to answer it and therefore the question ended up not being aswered.|2|5|4|2|5|1|4|1|2|2|4|1|4|2|2|2|2|4|2|4|answer simple questions|manage to answer more complex questions|it wasnt time consumint |most of my question was not answered|85452be9505ef3ee3499d59b5300f3
it was under my expectations, the answers provided were not complete, and some answers made not sense to me.|1|4|4|1|5|1|1|1|1|1|5|3|4|2|1|1|1|5|3|3|A lot, answers should be more complete, with more information.|It could not provide me with complete answers for my questions|nothing|every part of it|7f946e73fd33c3a2f15beac9248fc6
I think it went well however a few questions weren't answered fully but I would give it another go.|4|4|5|4|2|2|2|2|3|3|4|2|4|4|3|4|3|2|3|2|Give short quick answers.|Give a lot of detail and personalised information.|How easy and simple it was to use.|I didn't really get what I was looking for from it.|1122e007efd6d6c220883470890125
Not detailed enough or specific enough. I don't think the responses would be very helpful if I had actually been in the situations given. |3|4|3|2|None|3|3|2|3|2|4|2|4|2|2|2|2|3|4|3|Interpret the general question being asked and give a basic response|Give specific or detailed responses that fit my situation or the request being asked.|It was quick and easy to use.|I don't think it would be all that useful for finding out information like this, that is specific and possibly variable.|6a142c3f0766e201573fad3a498a84
Pretty well, I didn't expect it to get it right every time and it didn't|2|4|4|2|5|1|4|2|2|2|2|2|3|2|2|2|2|4|3|2|Answer basic questions that aren't complex|Answer more complex questions|It was short|It was inaccurate / vague some of the time|e004be8181957be418d758d41b56e2
The information it gave me was clear and well presented, but I was expecting a slightly more conversational style from the interactions.|5|1|3|1|2|2|5|1|4|5|2|3|3|4|4|4|5|1|4|1|Get me the information I needed, present it clearly, and link to any relevant resources I might need.|Sound more natural, sound like a conversation instead of an answer bank.|I liked that it was easy to get the information I needed with the prompts I used.|It really felt like I was talking to a robot, not a more advanced AI.|eb7cdc7219ceeb7b2862154329eca8
Yes, but they were very rigid on the answers. It would be nice to ask further clarifying questions afterwards rather than restarting the dialog from the beginning.|4|4|2|2|4|3|5|1|4|4|1|2|1|3|3|3|4|3|4|2|Quickly answering questions in a single turn|Follow up with further questions from the original query- you had to start from the beginning|Quick and further links for reading are provided.|Not always exactly what I was looking for. Can see that there are only specific programmed responses which aren't very broad.|443650e58eea05ea703d12d8b7cf06
It met my expectations pretty well, in the first case where I wasn't sure if the answer was fully answeredd, I wouldn't have known quite how to get more detail from the chatbot.|4|4|5|1|4|1|5|1|4|4|3|1|1|3|3|3|4|2|4|2|Give a straightforward answer with general details.|N/A|It was easy|N/A|4d1e5f75ce5b1667a380c39564e7c9
It required some work, however it pointed me in the right direction for some circumstances, for some other it didn't appear to understand all so well.|4|4|2|1|5|1|5|1|4|4|4|2|4|4|4|4|4|2|4|1|It provided me with keywords, so I knew what I had to type to make it understand. With this in mind I could phrase a sentence however I wanted, as long as those keywords were included.|I think it wouldn't have been able to go beyond the scope of the keywords, and also it didn't at any point ask for something to be reiterated.|In some circumstances the answer was provided was clear, concise and straight to the point.|It was short, a very quick and simple response.|a8ce5b01446119bd11123e13fb1607
The chatbot matched my expectations. The way I typed out the questions to the chatbot were the way I expected it to answer me. |2|2|5|None|5|2|5|None|5|5|3|4|4|4|3|3|5|1|5|1|It could answer the questions I needed to ask it quite well. |It was not very personalised and sometimes I didn't feel my question was fully answered. |It was very simple to use and quick. |The lack of personalisation.  |5de43e36ff95340991cc2c338f85da
It was actually much better than I expected. I received answers to all the questions that I asked and was satisfied with them.|5|2|3|None|3|4|5|2|4|4|2|4|4|4|4|4|4|2|5|2|It answered the basic questions that I had quite efficiently.|Perhaps more personal questions.|It worked so well and is fun to use.|Nothing.|1d6610aff8f95079a27b87ed0804c5
Wash a bit short and lacking in detail and a little too impersonal|4|4|3|2|4|3|4|3|3|4|2|2|3|3|2|2|3|4|3|2|answer simple questions|give more detailed answers|quick answers|impersonal|000650684db95bdac754d1c314c481
