expectations_1,chat_exp_1,chat_exp_2,chat_exp_3,chat_exp_4,chat_exp_5,chat_exp_6,chat_exp_7,chat_exp_8,reliability_1,reliability_2,reliability_3,reliability_4,reliability_5,reliability_6,trust_1,trust_2,umux_1,umux_2,umux_3,umux_4,strengths,weaknesses,expectations_2,expectations_3,user
"It was pretty much what I expected for a chatbot, in that sometimes it answered well and sometimes it didn't. I got the impression that it didn't like when I included too much information in my question. It was better for me to ask a simple question and then answer its follow-ups. It was overall pretty good, but perhaps not the most direct or comprehensive way to get my answers. I think I'd still rather do the research myself. ",3,4,5,4,5,3,4,4,3,3,4,2,4,2,3,3,3,4,3,4,Answer a very specific and common question.,Interpret when there are multiple parameters in the question asked. ,Its responses were fairly quick.,It fell over when I asked too much in my initial question. It also seemed to have some outdated information regarding COVID restrictions.,4b9924c0c8ce326ac3c1e1688937c6
I felt it was too basic and didn't really answer any of the questions asked.,2,2,3,1,1,2,3,5,2,3,4,2,4,1,1,1,1,4,2,4,Answers basic travel questions,Doesn't really answer complex travel questions,Was a fast response ,It didn't really answer anything,1fd4736bcd456d02458c2a32944e60
I expect a chatbot to be able to respond quickly.....the chatbox was a little slow at first but improved as the dialogues progressed. \r\nI would need a chatbox to be able to understand what I'm asking and give accurate information or i'd prefer to deal with a person,2,4,4,4,3,2,2,4,2,3,3,2,3,2,2,2,2,4,4,4,Response time got better,Answer most of the questions i asked,I don't really like chat bots so not sure I can answer this question. There wasn't anything i could say I liked,The fact it couldn't decipher what i was asking most of the time,e5de0b4b0679651ef175fceeb3413f
Chatbot partially met my expectations. Provided accurate information but sometimes struggled with complex queries and lacked the conversational depth I anticipated.,3,4,4,4,5,2,3,4,4,3,5,2,4,3,3,3,3,3,4,4,providing accurate answers to straightforward questions,struggled with handling complex or nuanced inquiries, ability to provide quick answers to basic inquiries, limited ability to handle complex or unique queries ,7224eb019715bd25cc799d87862cf7
It was pretty much as expected. The chatbot could only answer simple questions which has been my experience with other chatbots in the past.,3,3,4,4,4,3,3,3,3,2,3,2,4,3,3,3,2,4,2,4,It could pick out keywords,It can't combine different keywords in a question,It was speedy in responding ,"If it can't answer a question, there was no redirection to more resources",2e4bd44563cdfd591a0a4bd566c308
"I feel that the chatbot was just straight down to business. ChatGPT has a friendlier language, i.e., replying with \xe2\x80\x98Certainly! I can do that. Here\xe2\x80\x99s what you need\xe2\x80\xa6\xe2\x80\x99 Some of the answers took me a few times to read to understand. ChatGPT uses bullet points a lot to break down details and helps me understand its response quicker. ",5,2,4,5,4,4,2,5,5,4,3,4,3,4,4,4,5,1,4,1,It does well in asking follow up questions for clarifications and providing sample answers. ,The chatbot does not do well in being friendly with its language.,The chatbot gave me answers straight to the point. Most of the length of answers are good and not verbose. ,It felt like just talking to a smart robot who knows all the answers. Could use some personality.,d9a101002e1d23b86bf785bab7b5e3
"That chatbot met my expectations in the way that it wasn't able to answer very specific questions, as I expected would be the case. It was able to answer general questions after narrowing down information through asking further questions.",3,4,4,4,5,3,2,4,2,2,3,2,4,2,2,2,2,3,3,3,The chatbot could answer general FAQs quite quickly.,The chatbot could not answer specific questions,The chatbot in some instances answered quite quickly,I didn't like not being to be able to get the answer to specific questions which could be explained and answered by a real person,273666715e559c45c6cc9a2e7f5033
i think the chat bot answered the questions as well as they could given the limited info i gave them.,4,4,5,4,4,4,4,5,4,4,3,3,3,3,3,3,4,4,4,4,it responded pretty fast,not ask more deep diving questions or just ask to please clarify my question.,instantaneous,i don't like giving private information to a bot,9597e20137307a6a6b3dc058772a5d
I think it was better than I thought. The suggested topics made it much faster to get the answers I needed. ,4,2,2,3,2,4,4,1,4,4,2,3,2,4,4,4,4,2,4,1,"It gave me the right information quickly, by picking up key terms.","The information provided was quite long, it could perhaps summarise the points more succinctly ",It was fast and straight to the point.,It felt quite impersonal,4b05d78d95dab53136cd67385d52d1
"This was a better experience than normal, it answeres questions clearly and concisely and with short paragraphs. ",4,5,2,4,2,2,4,4,4,3,4,2,3,3,4,4,5,3,4,2,Answer the questions concisely.,"I don't think there was any issue accept I could no click on suggested answers, and had to type it myself. ",Answered quickly and simply.,Had to type it. ,93b0ca92a0deeff80f839bb59d2f5d
I feel like it asked too many irrelevant questions. There was a lot of yes or no questions but when i was unsure there was no option to say i dont know. it was below my expectations.,4,3,4,4,2,4,4,4,2,3,4,3,4,2,2,2,2,4,4,3,"sometimes gave specific, good answers",to ask relevant questions,some questions were answered with minimal effort,some questions i had to be speicific and some of the questions the chatbot asked for clarification was sometimes irellevant,aba8a70de6cd22ed03570c48020315
The chat blt mostly met expectations giving clear and detailed responses to my inputs.,2,5,4,5,3,4,3,5,4,5,1,2,3,4,4,4,5,1,5,2,Help narrow down options before providing an answer to the initial question.,Answer more complex questions.,Very easy to use.,felt limited in its capabilities.,6d91b06047716a0a0b2c2cd86fdc78
"i found it easy to use, it gave me pretty much what i asked for",5,1,4,5,1,4,5,5,5,4,2,5,4,4,4,4,5,1,5,1,it understood what i was asking,a few spelling errors,it was easy to use and answers were quick,nothing,109a7e62eb34a81bd913c0b17494b2
It provided general details to the questions I asked. ,4,5,5,2,5,2,4,2,4,4,2,2,4,4,4,4,4,2,4,2,The chatbot could give general information well,The chatbot wouldn't be able to give specific details for my situation,"I like that it's quick, no wait time to speak with someone",More detailed information can't be provided ,26b29d379574e280bd3440f53ad5a2
Similar to expectations although options were more fixed than I was expecting. Didn't expect to be locked out of any further conversation at the end. ,1,5,3,4,4,2,3,4,2,1,4,2,3,1,1,1,1,5,1,4,Pull up fixed information,Interpret the situation,Quick to answer,Very restricted. ,47e68725c26f72d805709141e76fd0
"it was very generic, robotic",2,4,2,2,5,3,3,3,2,2,4,2,4,2,2,2,2,4,2,3,recogise that its asking me repeat questions,more personalble ,nothing reallly sorry ,generic repeat questions and answers,e5088a3c41e522ad23886b6a2eb748
It mostly did not answer my queries. It took me a while to read through to clarify that my question had not been answered,3,4,2,2,4,2,4,2,2,2,4,1,4,2,2,2,3,4,4,4,Answer questions as long as I provided the correct wording,It could not tell me if it didn't know the answer-it would just bring up random information that could be misleading,immediate answers,The wrong answers. The fact that they were set answers. There was no personal touch,d96abd518a2b3832ed0d1255257326
The chatbot exceeded my expectations. I pretty much got an answer for every question and there was nothing off topic in the responses. ,4,2,2,3,4,2,4,2,4,4,3,2,4,4,4,4,4,2,4,2,Providing company policies quickly,I didn't encounter any issues but I imagine would have a hard time with complex questions.,Quick and easy to get the answers about my upcoming trip in terms of policies. ,Nothing,69bc89bee85d16bf7e30834c2a2b3f
I was surprised how quickly it provide the specific information I was looking to get. I assumed the information would be provided quickly if prompted correctly. But it was provided much much faster than I thought.,3,5,2,4,2,4,5,3,5,4,2,4,3,4,4,4,4,1,5,2,Answer me quickly and not stray off topic.,"In my specific interaction, the chatbot didn't fall short in any categories. Some might say it's answers were too short and curt. But that's what I'm looking for in a chatbot. Quick straightforward answers.",It was very quick and to the point.,The specific scenarios in which I interacted with the chatbot felt a bit unrealistic. It was clear I had a very specific set of things to ask in each example and I'm not sure if my questions would be handled as well if they were more open ended.,d7ea9d8d7835bb048db356e91cfce9
was much worse than what i thought a chatbot could do.,1,5,2,4,5,1,5,5,1,3,2,2,2,2,4,4,2,5,4,5,"not much. it gives out information, however it gave out the same info every time regardless of what questions were asked of it. might as well put that information on a webpage.",anything specific asked of it - it could only give out set info.,the quick responses.,no personal response to queries. only generic information.,57affbcf1a53cf8152a4f84b337572
